epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37075,2.82686,6.3011,1.51561,0.00066,1,0.00212,0.00114,1.41512,7.64724,0.95991,0.00028,0.00028,0.00028
2,5.64726,1.85859,3.58873,1.18363,0.00066,1,0.00205,0.00083,1.67295,7.51134,1.04781,0.00056086,0.00056086,0.00056086
3,7.864,1.75969,2.65201,1.081,0.0006,0.91667,0.00178,0.0007,1.58204,6.78577,0.99117,0.00082192,0.00082192,0.00082192
4,10.1233,1.66686,2.57156,1.05158,0.00044,0.66667,0.00072,0.0003,1.93372,7.10921,1.16861,0.00106318,0.00106318,0.00106318
5,12.3014,1.64163,2.12842,1.09452,0.00055,0.83333,0.00139,0.00058,2.09281,6.6214,1.18975,0.00128464,0.00128464,0.00128464
6,14.4448,1.67591,2.02622,1.0826,0.00055,0.83333,0.03237,0.02126,1.71511,4.04549,1.06116,0.0014863,0.0014863,0.0014863
7,16.6586,1.5539,1.93135,1.03669,0.00214,0.91667,0.16852,0.09802,1.46764,2.99184,0.97312,0.001604,0.001604,0.001604
8,18.8284,1.61647,1.78982,1.06365,0.21575,0.83333,0.21283,0.11611,1.56373,2.57836,1.02463,0.001538,0.001538,0.001538
9,21.0364,1.50231,1.54458,1.03547,0.19742,0.83333,0.21266,0.11743,1.51565,2.59578,1.01891,0.001472,0.001472,0.001472
10,23.2353,1.57213,1.58623,1.02653,0.19715,0.91667,0.18317,0.09786,1.53909,2.70581,1.00944,0.001406,0.001406,0.001406
11,25.4411,1.55192,1.55688,1.06354,0.19168,0.83333,0.19331,0.10354,1.63952,3.35531,1.06587,0.00134,0.00134,0.00134
12,27.5895,1.49522,1.39696,1.02378,0.20709,0.91667,0.22852,0.11517,1.79147,3.30316,1.10473,0.001274,0.001274,0.001274
13,29.7799,1.42137,1.3411,1.02328,0.21245,1,0.22518,0.13006,1.51396,2.74305,1.00892,0.001208,0.001208,0.001208
14,31.9752,1.51958,1.26599,1.03364,0.20451,1,0.24102,0.12751,1.43151,3.26434,0.99136,0.001142,0.001142,0.001142
15,34.2095,1.47909,1.18129,1.02238,0.22922,0.75,0.29733,0.172,1.40632,3.66327,0.96833,0.001076,0.001076,0.001076
16,36.3751,1.45637,1.20931,1.02349,0.17982,0.91667,0.21907,0.12506,1.53555,3.43649,1.01435,0.00101,0.00101,0.00101
17,38.543,1.4201,1.16197,0.99287,0.19323,1,0.20735,0.11434,1.4247,3.89236,0.97793,0.000944,0.000944,0.000944
18,40.7674,1.40831,1.06637,0.98464,0.18343,0.83333,0.16365,0.09628,1.47839,3.68712,0.96416,0.000878,0.000878,0.000878
19,42.9159,1.43183,1.13194,1.00226,0.18379,0.83333,0.18464,0.10411,1.47703,3.31978,0.97673,0.000812,0.000812,0.000812
20,45.1329,1.46534,1.09352,1.00607,0.19461,0.91667,0.21297,0.1374,1.36095,3.91538,0.94025,0.000746,0.000746,0.000746
21,53.8509,1.45868,1.30468,1.03993,0.20344,0.8516,0.21988,0.13528,1.44399,2.69384,0.96568,0.00068,0.00068,0.00068
22,56.0008,1.31633,1.16972,0.99047,0.19901,0.91667,0.22445,0.14328,1.40988,3.06818,0.94742,0.000614,0.000614,0.000614
23,58.1461,1.3043,1.11811,0.99262,0.22607,0.75,0.25192,0.15526,1.41838,3.0673,0.96046,0.000548,0.000548,0.000548
24,60.2997,1.35171,1.04877,1.00006,0.19243,1,0.23974,0.13624,1.40333,3.29642,0.96132,0.000482,0.000482,0.000482
25,62.3878,1.30211,1.06729,0.98446,0.19892,1,0.27782,0.15747,1.4163,2.96282,0.9604,0.000416,0.000416,0.000416
26,64.5341,1.28571,1.00964,0.9839,0.18735,0.83333,0.2308,0.13448,1.44729,3.03373,0.96548,0.00035,0.00035,0.00035
27,66.6742,1.31339,1.03535,1.02792,0.18675,0.83333,0.18289,0.11468,1.34261,2.78357,0.94573,0.000284,0.000284,0.000284
28,68.835,1.29068,1.00324,0.99424,0.18164,0.83333,0.19034,0.11059,1.41929,3.11584,0.97324,0.000218,0.000218,0.000218
29,71.0377,1.29036,1.02936,0.97649,0.18137,0.83333,0.18338,0.10484,1.38272,2.96481,0.95217,0.000152,0.000152,0.000152
30,73.1401,1.27062,0.98241,0.98247,0.18174,0.83333,0.18184,0.10425,1.38207,2.85697,0.94621,8.6e-05,8.6e-05,8.6e-05
